ra_hr,ra_min,ra_sec,dec,flux_den
5,37,23,-15.5,5.5
5,37.0526315789,23.7894736842,-14.4473684211,5.5
5,37.1052631579,24.5789473684,-13.3947368421,5.5
5,37.1578947368,25.3684210526,-12.3421052632,5.5
5,37.2105263158,26.1578947368,-11.2894736842,4.9
5,37.2631578947,26.9473684211,-10.2368421053,5
5,37.3157894737,27.7368421053,-9.1842105263,5.1
5,37.3684210526,28.5263157895,-8.1315789474,5.5
5,37.4210526316,29.3157894737,-7.0789473684,5.5
5,37.4736842105,30.1052631579,-6.0263157895,5.8
5,37.5263157895,30.8947368421,-4.9736842105,7.5
5,37.5789473684,31.6842105263,-3.9210526316,6
5,37.6315789474,32.4736842105,-2.8684210526,6.5
5,37.6842105263,33.2631578947,-1.8157894737,8.5
5,37.7368421053,34.0526315789,-0.7631578947,6
5,37.7894736842,34.8421052632,0.2894736842,6.25
5,37.8421052632,35.6315789474,1.3421052632,6.5
5,37.8947368421,36.4210526316,2.3947368421,7
5,37.9473684211,37.2105263158,3.4473684211,7.5
5,38,38,4.5,7
5,49,23,-15.5,5
5,49.0526315789,23.7894736842,-14.4473684211,5
5,49.1052631579,24.5789473684,-13.3947368421,5
5,49.1578947368,25.3684210526,-12.3421052632,4.9
5,49.2105263158,26.1578947368,-11.2894736842,4.9
5,49.2631578947,26.9473684211,-10.2368421053,5
5,49.3157894737,27.7368421053,-9.1842105263,5
5,49.3684210526,28.5263157895,-8.1315789474,5.1
5,49.4210526316,29.3157894737,-7.0789473684,5.5
5,49.4736842105,30.1052631579,-6.0263157895,5.9
5,49.5263157895,30.8947368421,-4.9736842105,5.8
5,49.5789473684,31.6842105263,-3.9210526316,5.8
5,49.6315789474,32.4736842105,-2.8684210526,5.8
5,49.6842105263,33.2631578947,-1.8157894737,6
5,49.7368421053,34.0526315789,-0.7631578947,6.2
5,49.7894736842,34.8421052632,0.2894736842,6.5
5,49.8421052632,35.6315789474,1.3421052632,7
5,49.8947368421,36.4210526316,2.3947368421,7
5,49.9473684211,37.2105263158,3.4473684211,6.9
5,50,38,4.5,7.2
6,13,23,-15.5,3.8
6,13.0526315789,23.7894736842,-14.4473684211,3.8
6,13.1052631579,24.5789473684,-13.3947368421,3.75
6,13.1578947368,25.3684210526,-12.3421052632,3
6,13.2105263158,26.1578947368,-11.2894736842,3.75
6,13.2631578947,26.9473684211,-10.2368421053,3.25
6,13.3157894737,27.7368421053,-9.1842105263,3.25
6,13.3684210526,28.5263157895,-8.1315789474,3.25
6,13.4210526316,29.3157894737,-7.0789473684,3.25
6,13.4736842105,30.1052631579,-6.0263157895,3.25
6,13.5263157895,30.8947368421,-4.9736842105,3.3
6,13.5789473684,31.6842105263,-3.9210526316,3.6
6,13.6315789474,32.4736842105,-2.8684210526,4
6,13.6842105263,33.2631578947,-1.8157894737,4
6,13.7368421053,34.0526315789,-0.7631578947,4.1
6,13.7894736842,34.8421052632,0.2894736842,4.5
6,13.8421052632,35.6315789474,1.3421052632,4.8
6,13.8947368421,36.4210526316,2.3947368421,5
6,13.9473684211,37.2105263158,3.4473684211,5.5
6,14,38,4.5,6
6,5,23,-15.5,3.8
